Pos,Name,Value
1,United States,18890000
2,European Union,12770000
3,China,10760000
4,Japan,4531000
5,Russia,3320000
6,India,3158000
7,Brazil,3097000
8,Saudi Arabia,2925000
9,Germany,2403000
10,Canada,2390000
11,"Korea, South",2324000
12,Mexico,2044000
13,Iran,1870000
14,France,1767000
15,Indonesia,1660000
16,United Kingdom,1508000
17,Italy,1315000
18,Singapore,1292000
19,Spain,1205000
20,Australia,1083000
21,Thailand,1005000
22,Netherlands,983300
23,Taiwan,974000
24,Venezuela,784000
25,Egypt,770000
26,Iraq,769000
27,Argentina,758000
28,Turkey,728400
29,United Arab Emirates,698000
30,Malaysia,623000
31,Belgium,612800
32,South Africa,604000
33,Poland,511000
34,Kuwait,467000
35,Pakistan,437100
36,Vietnam,413000
37,Algeria,380000
38,Hong Kong,354000
39,Chile,341200
40,Ukraine,317700
41,Colombia,306000
42,Nigeria,302000
43,Philippines,299400
44,Sweden,298800
45,Greece,284000
46,Switzerland,263600
47,Austria,263300
48,Kazakhstan,258200
49,Syria,257400
50,Ecuador,255000
51,Libya,248000
52,Portugal,240800
53,Israel,238000
54,Norway,222600
55,Qatar,220000
56,Romania,215300
57,Morocco,209400
58,Finland,198400
59,Czech Republic,187800
60,Belarus,187100
61,Peru,171400
62,Cuba,170900
63,Denmark,154700
64,Oman,153800
65,New Zealand,152800
66,Yemen,144400
67,Ireland,141600
68,Hungary,134800
69,Angola,133000
70,Turkmenistan,132400
71,Dominican Republic,123500
72,Jordan,122700
73,Bangladesh,118700
74,Puerto Rico,106000
75,Uzbekistan,105600
76,Lebanon,104400
77,Panama,101400
78,Sudan,95450
79,Sri Lanka,94470
80,Bulgaria,94000
81,Azerbaijan,93430
82,Tunisia,90080
83,Croatia,84000
84,Kenya,83600
85,Guatemala,80330
86,Serbia,77200
87,Lithuania,75270
88,Curacao,72000
89,Slovakia,69830
90,Jamaica,69310
91,Bolivia,68000
92,Ghana,66570
93,Virgin Islands,62000
94,Luxembourg,59010
95,Honduras,58220
96,Cyprus,58000
97,Ethiopia,56940
98,Costa Rica,54170
99,Tanzania,52520
100,Afghanistan,50000
101,Armenia,49280
102,Uruguay,49140
103,Bahrain,49000
104,Slovenia,48630
105,Cambodia,47490
106,Trinidad and Tobago,46680
107,El Salvador,46210
108,Senegal,43720
109,Malta,39450
110,Bosnia and Herzegovina,36000
111,Kyrgyzstan,35090
112,Benin,34410
113,Nicaragua,34070
114,Latvia,33670
115,Cameroon,29680
116,Estonia,29550
117,Burma,28120
118,Albania,28000
119,Paraguay,27190
120,Namibia,26810
121,"Bahamas, The",25760
122,Mauritius,25430
123,Mongolia,25110
124,Mozambique,24000
125,West Bank,23000
126,Cote d'Ivoire,22760
127,Papua New Guinea,22170
128,Moldova,21330
129,Zambia,21260
130,Gibraltar,20220
131,Madagascar,20140
132,Gabon,20000
133,Nepal,19260
134,Zimbabwe,19010
135,Uganda,18180
136,Brunei,18000
137,Mauritania,17870
138,Iceland,17160
139,Georgia,16790
140,Macedonia,16670
141,Botswana,15520
142,Tajikistan,15290
143,New Caledonia,15150
144,Suriname,15050
145,"Korea, North",14920
146,Haiti,13990
147,"Congo, Republic of the",13180
148,Malawi,13040
149,Togo,12260
150,Guam,12000
151,Djibouti,11680
152,Macau,11600
153,Fiji,11380
154,Guyana,10880
155,Burkina Faso,10250
156,Sierra Leone,9540
157,"Congo, Democratic Republic of the",9320
158,Seychelles,9060
159,Guinea,8810
160,Barbados,7980
161,Maldives,7610
162,French Polynesia,7430
163,Aruba,5970
164,Niger,5770
165,Somalia,5630
166,Mali,5440
167,Rwanda,5320
168,Belize,4980
169,Faroe Islands,4900
170,Eritrea,4810
171,Swaziland,4520
172,Montenegro,4460
173,Bermuda,4310
174,Antigua and Barbuda,4174
175,American Samoa,4090
176,Greenland,3980
177,Liberia,3780
178,Laos,3520
179,Cayman Islands,3360
180,"Gambia, The",3350
181,Saint Lucia,3040
182,Guinea-Bissau,3020
183,Central African Republic,2910
184,Cabo Verde,2780
185,Grenada,2590
186,Equatorial Guinea,2290
187,Burundi,2270
188,Saint Vincent and the Grenadines,2080
189,Western Sahara,2040
190,Timor-Leste,1980
191,Chad,1870
192,Bhutan,1870
193,Solomon Islands,1870
194,Lesotho,1830
195,Saint Kitts and Nevis,1740
196,Tonga,1270
197,British Virgin Islands,1190
198,Vanuatu,1140
199,Samoa,1130
200,Comoros,1080
201,Cook Islands,1050
202,Nauru,1010
203,Saint Pierre and Miquelon,1010
204,Turks and Caicos Islands,990
205,Dominica,960
206,Sao Tome and Principe,930
207,Montserrat,630
208,Kiribati,440
209,Falkland Islands (Islas Malvinas),320
210,"Saint Helena, Ascension, and Tristan da Cunha",70
211,Niue,20
